Group,User Story
Qwen/Qwen3-0.6B,"As a FHL company, I want to manage financial transactions effectively, so that I can track expenses and ensure budget adherence.  "
Qwen/Qwen3-0.6B,"As a FHL team, I want to schedule matches efficiently, so that I can handle referee conflicts and ensure optimal game scheduling.  "
Qwen/Qwen3-0.6B,"As a FHL club, I want to facilitate player transfers, so that I can update team memberships and ensure smooth transfers.  "
Qwen/Qwen3-0.6B,"As a FHL team, I want to track player and team statistics, so that I can monitor performance and ensure accurate data collection.  "
Qwen/Qwen3-0.6B,"As a referee, I want to ensure my availability and access to resources, so that I can manage game scheduling and prevent conflicts."
Qwen/Qwen3-1.7B,"As a project manager, I want to view a dashboard of team progress, so that I can monitor deadlines  "
Qwen/Qwen3-1.7B,"As a product owner, I want to prioritize features based on business value, so that I can align with stakeholder expectations  "
Qwen/Qwen3-1.7B,"As a user, I want to download lecture slides, so that I can study offline  "
Qwen/Qwen3-1.7B,"As a referee, I want to schedule games with availability checks, so that I can avoid conflicts  "
Qwen/Qwen3-1.7B,"As a team member, I want to track player stats in real-time, so that I can monitor performance  "
Qwen/Qwen3-1.7B,"As a system administrator, I want to manage financial transactions, so that I can ensure accurate budgeting  "
Qwen/Qwen3-1.7B,"As a referee, I want to assign referees based on availability, so that I can ensure fair game scheduling  "
Qwen/Qwen3-1.7B,"As a player, I want to transfer between clubs efficiently, so that I can move seamlessly  "
Qwen/Qwen3-1.7B,"As a facility manager, I want to maintain field conditions, so that I can ensure safe play areas  "
Qwen/Qwen3-1.7B,"As a coach, I want to access team statistics, so that I can make informed decisions  "
Qwen/Qwen3-1.7B,"As a stakeholder, I want to receive real-time updates on game outcomes, so that I can track results  "
Qwen/Qwen3-1.7B,"As a system administrator, I want to automate data entry, so that I can reduce manual work  "
Qwen/Qwen3-1.7B,"As a referee, I want to receive notifications about field issues, so that I can address them promptly  "
Qwen/Qwen3-1.7B,"As a team member, I want to submit data manually, so that I can ensure accurate reporting  "
Qwen/Qwen3-1.7B,"As a project manager, I want to track project timelines, so that I can manage resources effectively  "
Qwen/Qwen3-1.7B,"As a user, I want to access historical game data, so that I can review past performances  "
Qwen/Qwen3-1.7B,"As a referee, I want to receive feedback on field conditions, so that I can maintain standards  "
Qwen/Qwen3-1.7B,"As a team member, I want to report field issues, so that I can ensure proper maintenance  "
Qwen/Qwen3-1.7B,"As a system administrator, I want to handle budget forecasting, so that I can plan financially  "
Qwen/Qwen3-1.7B,"As a referee, I want to coordinate with other referees, so that I can ensure fair play  "
Qwen/Qwen3-1.7B,"As a team member, I want to update player stats, so that I can reflect current performance  "
Qwen/Qwen3-1.7B,"As a stakeholder, I want to receive alerts about scheduling conflicts, so that I can adjust plans  "
Qwen/Qwen3-1.7B,"As a system administrator, I want to manage user access, so that I can control who uses the system  "
Qwen/Qwen3-1.7B,"As a referee, I want to receive training on field standards, so that I can maintain consistency  "
Qwen/Qwen3-1.7B,"As a team member, I want to track equipment usage, so that I can manage resources effectively  "
Qwen/Qwen3-1.7B,"As a project manager, I want to monitor progress against milestones, so that I can adjust strategies  "
Qwen/Qwen3-1.7B,"As a user, I want to access mobile-friendly features, so that I can use the system on the go  "
Qwen/Qwen3-1.7B,"As a referee, I want to receive feedback on game outcomes, so that I can improve performance  "
Qwen/Qwen3-1.7B,"As a team member, I want to report on field maintenance, so that I can ensure long-term viability  "
Qwen/Qwen3-1.7B,"As a stakeholder, I want to receive notifications about transfers, so that I can stay updated  "
Qwen/Qwen3-1.7B,"As a system administrator, I want to handle data security, so that I can protect sensitive information  "
Qwen/Qwen3-1.7B,"As a referee, I want to receive guidance on field rules, so that I can enforce them consistently  "
Qwen/Qwen3-1.7B,"As a team member, I want to track player contracts, so that I can manage agreements  "
Qwen/Qwen3-1.7B,"As a project manager, I want to identify risks in the schedule, so that I can mitigate them  "
Qwen/Qwen3-1.7B,"As a user, I want to access historical game data, so that I can analyze trends  "
Qwen/Qwen3-1.7B,"As a referee, I want to receive feedback on game performance, so that I can improve results  "
