Group,User Story
Qwen/Qwen3-0.6B,"As a dentist, I want to view a dashboard of team progress, so that I can monitor deadlines.  "
Qwen/Qwen3-0.6B,"As a patient, I want to download lecture slides, so that I can study offline.  "
Qwen/Qwen3-0.6B,"As a user of the system, I want to make an appointment based on recommendations.  "
Qwen/Qwen3-0.6B,"As a patient, I want to reschedule my appointment if needed.  "
Qwen/Qwen3-0.6B,"As a user of the system, I want to access my dental records and medical data."
Qwen/Qwen3-1.7B,"As a dentist, I want to schedule appointments based on recommendations, so that I can manage patient care efficiently  "
Qwen/Qwen3-1.7B,"As a patient, I want to receive appointment recommendations and reschedule them, so that I can maintain my dental health and avoid unexpected visits  "
Qwen/Qwen3-1.7B,"As a patient, I want to get cost-effective recommendations and understand insurance details, so that I can make informed decisions about my dental care  "
Qwen/Qwen3-1.7B,"As a patient, I want to access my health records securely, so that I can manage my dental care without compromising my personal information  "
Qwen/Qwen3-1.7B,"As a patient, I want to receive reminders for appointments, so that I don't miss scheduled visits  "
Qwen/Qwen3-1.7B,"As a practitioner, I want to approve recommendations, so that I can ensure the correct procedures are performed  "
Qwen/Qwen3-1.7B,"As a patient, I want to make appointments manually if the system isn't available, so that I can choose the best option for my schedule  "
Qwen/Qwen3-1.7B,"As a patient, I want to understand the cost implications of recommendations, so that I can make decisions that align with my financial situation  "
Qwen/Qwen3-1.7B,"As a patient, I want to access recommendations and appointment details through a simple, intuitive interface, so that I can easily manage my dental care  "
Qwen/Qwen3-1.7B,"As a patient, I want to trust the system with my personal data, so that I can feel confident in using it for my dental care  "
Qwen/Qwen3-1.7B,"As a dentist, I want to integrate with existing systems and ensure data consistency, so that all patient information is accurate and up-to-date  "
Qwen/Qwen3-1.7B,"As a patient, I want to receive notifications about upcoming appointments, so that I can stay informed about my dental care schedule  "
Qwen/Qwen3-1.7B,"As a dentist, I want to have control over appointment scheduling and reminders, so that I can manage patient visits efficiently  "
Qwen/Qwen3-1.7B,"As a patient, I want to understand the impact of dental health on insurance claims, so that I can make informed decisions about my care  "
Qwen/Qwen3-1.7B,"As a patient, I want to receive recommendations based on both medical and dental data, so that I can make informed choices about my care  "
Qwen/Qwen3-1.7B,"As a dentist, I want to ensure that recommendations are based on the latest patient data, so that I can provide accurate and timely care  "
Qwen/Qwen3-1.7B,"As a patient, I want to have the option to opt out of the system's recommendations, so that I can choose my own care plan  "
Qwen/Qwen3-1.7B,"As a dentist, I want to have the ability to adjust appointment schedules and reminders, so that I can manage patient appointments effectively  "
Qwen/Qwen3-1.7B,"As a patient, I want to receive clear explanations of recommendations, so that I can understand why certain procedures are suggested  "
Qwen/Qwen3-1.7B,"As a dentist, I want to ensure that the system handles emergencies and urgent appointments, so that patients receive timely care  "
Qwen/Qwen3-1.7B,"As a patient, I want to be able to reschedule appointments without relying on the system, so that I can manage my schedule flexibly  "
Qwen/Qwen3-1.7B,"As a dentist, I want to have the ability to review and approve recommendations, so that I can ensure accuracy and appropriateness of care  "
Qwen/Qwen3-1.7B,"As a patient, I want to understand the long-term benefits of preventive care, so that I can make decisions that promote lasting dental health"
Qwen/Qwen3-4B,"As a patient, I want to receive recommendations for dental appointments based on my medical and dental history, so that I can make informed decisions about my care.  "
Qwen/Qwen3-4B,"As a patient, I want to see the reasons behind the dental appointment recommendations, so that I understand why certain procedures are suggested.  "
Qwen/Qwen3-4B,"As a patient, I want to reschedule or cancel appointments through the system, so that I can manage my schedule flexibly.  "
Qwen/Qwen3-4B,"As a patient, I want to receive reminders for upcoming appointments, so that I don’t forget to attend them.  "
Qwen/Qwen3-4B,"As a patient, I want to access my dental records and medical information securely, so that I can review my health data.  "
Qwen/Qwen3-4B,"As a dentist, I want to approve or reject dental appointment recommendations generated by the system, so that I maintain control over patient care.  "
Qwen/Qwen3-4B,"As a dentist, I want to view a dashboard of patient appointments and progress, so that I can monitor and manage my schedule efficiently.  "
Qwen/Qwen3-4B,"As a dentist, I want to receive notifications about patient appointments and recommendations, so that I can respond promptly.  "
Qwen/Qwen3-4B,"As a dentist, I want to update patient records with new findings or procedures, so that the system remains accurate and up-to-date.  "
Qwen/Qwen3-4B,"As a dental hygienist, I want to approve dental appointment recommendations, so that I can manage patient care within my scope of practice.  "
Qwen/Qwen3-4B,"As a dental hygienist, I want to access patient records and medical data, so that I can provide appropriate care.  "
Qwen/Qwen3-4B,"As an administrative staff member, I want to schedule appointments for patients who prefer not to use the system, so that they can still access care.  "
Qwen/Qwen3-4B,"As an administrative staff member, I want to manage the system’s integration with existing dental records, so that data is consistent across all platforms.  "
Qwen/Qwen3-4B,"As a patient, I want to receive cost-effective recommendations for dental procedures, so that I can make financially responsible choices.  "
Qwen/Qwen3-4B,"As a patient, I want to receive information about insurance coverage and how it affects my dental care, so that I can understand my financial responsibilities.  "
Qwen/Qwen3-4B,"As a patient, I want to access a secure app to view appointments and recommendations, so that I can manage my dental health conveniently.  "
Qwen/Qwen3-4B,"As a patient, I want to opt out of the system’s recommendations if I prefer to manage my appointments independently, so that I have control over my care.  "
Qwen/Qwen3-4B,"As a dentist, I want to prioritize urgent appointments based on patient needs, so that critical cases are addressed promptly.  "
Qwen/Qwen3-4B,"As a dentist, I want to ensure that recommendations are based on the latest patient data, so that care is accurate and up-to-date.  "
Qwen/Qwen3-4B,"As a dentist, I want to review patient records before making appointments, so that I can provide appropriate care.  "
Qwen/Qwen3-4B,"As a patient, I want to receive notifications about potential dental issues based on my medical history, so that I can take preventive action.  "
Qwen/Qwen3-4B,"As a patient, I want to receive personalized advice on maintaining dental health, so that I can prevent future issues.  "
Qwen/Qwen3-4B,"As a patient, I want to access information about the cost of procedures and potential savings from early intervention, so that I can make informed decisions.  "
Qwen/Qwen3-4B,"As a dentist, I want to ensure that recommendations are aligned with insurance coverage and patient financial situations, so that care is accessible.  "
Qwen/Qwen3-4B,"As a dentist, I want to receive alerts about patient appointments and recommendations, so that I can manage my workload effectively.  "
Qwen/Qwen3-4B,"As a patient, I want to receive recommendations for dental procedures that prevent more serious issues, so that I can avoid costly treatments.  "
Qwen/Qwen3-4B,"As a patient, I want to receive reminders about upcoming appointments, so that I don’t miss scheduled visits.  "
Qwen/Qwen3-4B,"As a patient, I want to access a secure platform to view and manage my dental appointments, so that I can stay organized.  "
Qwen/Qwen3-4B,"As a dentist, I want to ensure that recommendations are reviewed and approved by a qualified practitioner, so that care is appropriate.  "
Qwen/Qwen3-4B,"As a dentist, I want to integrate the system with existing scheduling tools, so that appointments are managed seamlessly.  "
Qwen/Qwen3-4B,"As a patient, I want to receive recommendations for dental procedures that align with my insurance coverage, so that I can avoid unexpected costs.  "
Qwen/Qwen3-4B,"As a patient, I want to receive information about the benefits of regular dental checkups, so that I can maintain good oral health.  "
Qwen/Qwen3-4B,"As a dentist, I want to ensure that recommendations are based on the latest patient data and medical history, so that care is accurate.  "
