Group,User Story
Qwen/Qwen3-0.6B,"As a shift leader, I want to view a dashboard of team progress, so that I can monitor deadlines.  "
Qwen/Qwen3-0.6B,"As a project manager, I want to view a dashboard of team progress, so that I can monitor deadlines.  "
Qwen/Qwen3-0.6B,"As a student, I want to download lecture slides, so that I can study offline.  "
Qwen/Qwen3-0.6B,"As a product owner, I want to implement a new system to integrate communications across different stores.  "
Qwen/Qwen3-0.6B,"As a manager, I want to schedule meetings and handle shift replacements efficiently.  "
Qwen/Qwen3-0.6B,"As a employee, I want to access a shift picker application to manage my time.  "
Qwen/Qwen3-0.6B,"As a user of WhatsApp, I want to use it for scheduling meetings and managing shifts."
Qwen/Qwen3-1.7B,"As a employee, I want to schedule my shifts in the new system, so that I can manage my work schedule efficiently  "
Qwen/Qwen3-1.7B,"As a manager, I want to oversee shift assignments and replacements, so that I can ensure proper coverage for the store  "
Qwen/Qwen3-1.7B,"As a employee, I want to receive shift notifications via the new app, so that I can stay informed about my schedule  "
Qwen/Qwen3-1.7B,"As a manager, I want to view employee availability and schedule shifts, so that I can plan effectively  "
Qwen/Qwen3-1.7B,"As a employee, I want to request day off or leave, so that I can manage my personal time without affecting work  "
Qwen/Qwen3-1.7B,"As a manager, I want to handle shift replacements and communicate with employees, so that I can maintain proper coverage  "
Qwen/Qwen3-1.7B,"As a employee, I want to access my profile with my name and location, so that I can identify myself in the system  "
Qwen/Qwen3-1.7B,"As a manager, I want to approve shift requests and track employee availability, so that I can manage workloads  "
Qwen/Qwen3-1.7B,"As a employee, I want to request a shift swap or cancellation, so that I can adjust my schedule as needed  "
Qwen/Qwen3-1.7B,"As a manager, I want to ensure that shifts are assigned to the right employees, so that work is covered properly  "
Qwen/Qwen3-1.7B,"As a employee, I want to receive shift-related updates via the new app, so that I can stay informed about changes  "
Qwen/Qwen3-1.7B,"As a manager, I want to handle employee feedback and suggest improvements, so that I can enhance the system  "
Qwen/Qwen3-1.7B,"As a employee, I want to request a day off or leave, so that I can manage my personal time without affecting work  "
Qwen/Qwen3-1.7B,"As a manager, I want to ensure that shifts are assigned to the right employees, so that work is covered properly  "
Qwen/Qwen3-1.7B,"As a employee, I want to access the new app for shift management, so that I can manage my schedule efficiently  "
Qwen/Qwen3-1.7B,"As a manager, I want to oversee employee replacements and ensure they are approved, so that coverage is maintained  "
Qwen/Qwen3-1.7B,"As a employee, I want to request a shift swap or cancellation, so that I can adjust my schedule as needed  "
Qwen/Qwen3-1.7B,"As a manager, I want to ensure that shifts are assigned to the right employees, so that work is covered properly  "
Qwen/Qwen3-1.7B,"As a employee, I want to receive shift-related updates via the new app, so that I can stay informed about changes  "
Qwen/Qwen3-1.7B,"As a manager, I want to handle employee feedback and suggest improvements, so that I can enhance the system  "
Qwen/Qwen3-1.7B,"As a employee, I want to request a day off or leave, so that I can manage my personal time without affecting work  "
